Pop	Food	Muscle_Width	Body_Width	Body_Length	Tail_length	Body_depth	Muscle_depth	Tail_depth
8	U	2.2	9.9	14.08	28.25	8.3	2.6	8.5
8	U	2.2	9.5	13.87	28.74	8.2	2.8	8.5
8	U	2	9.2	13.18	25.63	7.7	2.6	8.6
8	U	1.9	9	12.38	26.44	8	2.5	7.4
8	U	2.3	9.3	12.85	28.29	7.5	2.9	9.2
8	U	1.9	9.4	12.52	26.19	8.8	2.2	7.4
8	U	1.9	9.5	12.94	24.98	8.8	2.4	7.5
8	U	2.3	9.5	13.73	28.18	8	2.8	9.2
8	R	1.3	6.7	9.41	18.77	5.8	1.9	6.2
8	R	1.6	8	10.72	20.69	6.7	2	6.1
8	R	1.7	8.7	11.06	20.33	8	2.2	7
8	R	1.3	8	10.6	19.44	7	2	6
8	R	1.4	7.5	9.9	18.76	6	1.8	5.8
8	R	1.5	8.6	11.26	21.14	7.3	2.3	7.7
8	R	1.4	6.7	9.79	20.17	5.6	1.9	5.5
8	R	1.6	8.6	10.43	22.1	7.4	2.2	7
8	R	1.5	7.6	11.17	20.55	6.6	2.2	7.1
8	R	1.5	8.4	11.22	19.9	7.3	2.1	7
8	R	1.5	8.1	10.84	20.5	7	2.2	6.5
8	R	1.4	8	10.79	19.57	6.9	1.9	6.3
8	R	1.3	7.1	8.97	19.49	6.4	1.9	5.5
8	R	1.3	8	10.82	22.06	6.9	2.2	7
8	R	1.5	8	10.79	23.22	7.4	2.2	7.1
8	R	1.4	8.2	10.4	19.93	7	2.1	6.9
8	R	1.2	7.3	10.02	19.11	6.3	2.1	6
8	R	1.6	8.6	11.29	21.72	6.9	2.4	7.5
8	R	1.3	7.5	10.24	19.14	6.4	1.9	6.2
8	R	1.2	7.2	9.88	19.1	6.3	1.8	6.5
