Sample.ID	adaptation	temperature	co2	water.loss	body.size	weight.loss	eggs
Z23	heat.adapted	23	0.01114328	8.198130067	0.0181	0.0016	43
Y11	heat.adapted	23	0.01067784	8.222568733	0.0184	0.0014	30
X22	heat.adapted	23	0.0101009	8.244874533	0.0172	0.0021	38
Y22	heat.adapted	23	0.007756	8.2553926	0.0143	0.0011	38
Z11	heat.adapted	23	0.008272667	8.261481733	0.0158	0.0022	36
aphla11	heat.adapted	23	0.01177206	8.344261333	0.0187	0.0017	49
O23	cold.adapted	23	0.009680667	8.3647914	0.0153	0.0022	22
Y3	heat.adapted	23	0.01097822	8.374151333	0.0166	0.0016	40
aphla17	heat.adapted	23	0.01066424	8.382084867	0.0204	0.0014	36
Q7	cold.adapted	23	0.0100733	8.409236733	0.0145	0.0005	41
P10	cold.adapted	23	0.009019333	8.4124628	0.0154	0.0016	25
aphla23	heat.adapted	23	0.009572	8.468154867	0.0155	0.0015	30
aphla18	heat.adapted	23	0.010746667	8.503176067	0.0188	0.0014	42
R5	cold.adapted	23	0.009554667	8.505113333	0.0153	0.0016	44
Y5	heat.adapted	23	0.011370167	8.538504467	0.0178	0.0012	45
S16	cold.adapted	23	0.009518	8.554884533	0.0167	0.0024	42
Y18	heat.adapted	23	0.011220333	8.568551	0.0176	0.0017	38
X20	heat.adapted	23	0.009227333	8.5735554	0.0147	0.001	40
Z19	heat.adapted	23	0.009406	8.604946133	0.0147	0.0011	20
Y8	heat.adapted	23	0.011626667	8.616362933	0.0175	0.0015	28
R11	cold.adapted	23	0.011705553	8.625726733	0.0184	0.0016	57
X3	heat.adapted	23	0.012791913	8.735427867	0.0194	0.0015	31
Y20	heat.adapted	23	0.010520667	8.789053467	0.017	0.0014	42
R17	cold.adapted	23	0.012175407	8.8816822	0.0187	0.0015	47
P13	cold.adapted	23	0.010184013	8.8964478	0.0156	0.0017	25
R13	cold.adapted	23	0.008672	8.907276267	0.0141	0.0009	34
P17	cold.adapted	23	0.008996667	8.921380467	0.0151	0.0011	38
X11	heat.adapted	23	0.00917382	8.9232676	0.017	0.0013	30
aphla4	heat.adapted	23	0.01015054	8.924613533	0.0156	0.001	45
Y17	heat.adapted	23	0.011193947	8.936894533	0.0172	0.0012	44
Q4	cold.adapted	23	0.009978667	8.947316133	0.0162	0.0016	27
S4	cold.adapted	23	0.0090156	8.993318467	0.0149	0.0022	34
O16	cold.adapted	23	0.006551333	9.0551562	0.0127	0.002	32
aphla12	heat.adapted	23	0.010483207	9.109032267	0.0176	0	31
Y14	heat.adapted	23	0.009538	9.154892867	0.0158	0.0015	31
Y23	heat.adapted	23	0.011738473	9.159572467	0.0178	0.0012	42
aphla8	heat.adapted	23	0.011688173	9.180937333	0.0192	0.0014	29
O6	cold.adapted	23	0.009536	9.1815688	0.0145	0.0017	32
X4	heat.adapted	23	0.009831333	9.195270133	0.0174	0.001	37
S14	cold.adapted	23	0.007356667	9.229244267	0.0135	0.0012	37
aphla21	heat.adapted	23	0.01069428	9.254121533	0.0178	0.0012	35
Q8	cold.adapted	23	0.009932	9.284299867	0.0157	0.0017	23
aphla7	heat.adapted	23	0.010936173	9.311046267	0.0177	0.0013	36
Q23	cold.adapted	23	0.009884	9.3746656	0.0159	0.0019	37
